Date,Open,High,Low,Close,Adj Close,Volume
2014-12-31,63.3,63.49,62.58,62.58,55.37,18529400
2015-01-02,62.18,62.96,62.07,62.49,55.64,12600000
2015-01-05,62.06,62.28,60.23,60.55,53.92,20100600
2015-01-06,60.64,60.75,58.35,58.98,52.52,29074100
2015-01-07,59.89,59.89,58.67,59.07,52.6,23843200
2015-01-08,59.97,60.9,59.97,60.39,53.77,16971100
2015-01-09,60.72,60.79,59.29,59.34,52.84,15372100
2015-01-12,59.28,59.4,58.27,58.83,52.38,15455200
2015-01-13,59.26,59.7,58.37,58.84,52.39,21644700
2015-01-14,56.91,57.0,55.27,56.81,50.59,49602300
2015-01-15,55.73,56.61,54.5,54.99,48.96,42458100
2015-01-16,54.66,56.0,54.64,55.93,49.8,29368900
2015-01-20,56.04,56.39,55.42,55.71,49.61,23329400
2015-01-21,55.45,56.42,55.19,55.89,49.77,21842400
2015-01-22,56.38,57.73,55.96,57.59,51.28,31423500
2015-01-23,57.72,57.87,56.66,56.68,50.47,15339900
2015-01-26,56.41,56.99,56.2,56.77,50.55,12577700
2015-01-27,56.05,56.61,55.76,56.2,50.04,15220500
2015-01-28,56.62,56.68,54.75,54.75,48.75,24354400
2015-01-29,55.27,55.89,54.68,55.67,49.57,20393300
2015-01-30,54.99,55.5,54.37,54.38,48.42,26943700
2015-02-02,54.53,55.65,54.27,55.47,49.39,20308900
2015-02-03,55.91,56.78,55.87,56.72,50.5,18789400
2015-02-04,56.32,57.07,56.28,56.38,50.2,14934100
2015-02-05,56.86,57.04,56.46,56.77,50.55,11293900
2015-02-06,57.75,58.73,57.54,57.89,51.55,25009100
2015-02-09,57.42,58.1,57.23,57.82,51.48,14372400
2015-02-10,58.42,58.71,58.05,58.46,52.05,16367300
2015-02-11,58.06,58.66,57.84,58.37,51.97,13061900
2015-02-12,58.93,59.71,58.55,59.57,53.04,23211300
2015-02-13,59.46,60.22,59.34,59.67,53.13,16479100
2015-02-17,59.36,60.14,59.32,60.1,53.51,15308800
2015-02-18,60.1,60.1,59.12,59.37,52.86,13095100
2015-02-19,59.15,59.48,58.8,59.23,52.74,11256500
2015-02-20,58.96,59.89,58.35,59.8,53.25,15379000
2015-02-23,59.5,59.53,58.8,59.35,52.85,16814000
2015-02-24,60.25,61.25,60.08,60.82,54.16,22902100
2015-02-25,60.76,61.27,60.75,61.14,54.44,18307900
2015-02-26,61.03,61.7,60.91,61.58,54.83,15444800
2015-02-27,61.13,61.92,61.13,61.28,54.57,15225900
2015-03-02,61.28,61.83,61.03,61.77,55.0,13047300
2015-03-03,61.65,61.99,61.5,61.97,55.18,13706900
2015-03-04,61.64,62.17,61.35,62.13,55.32,16625500
2015-03-05,62.2,62.23,61.6,62.0,55.21,10931300
2015-03-06,62.16,62.87,60.8,60.89,54.22,22719200
2015-03-09,60.84,61.63,60.8,61.5,54.76,13001500
2015-03-10,60.76,61.01,59.96,59.96,53.39,16307300
2015-03-11,60.13,60.65,59.96,60.24,53.64,13015600
2015-03-12,60.65,61.45,60.65,61.37,54.65,18159600
2015-03-13,61.4,61.86,60.43,61.0,54.32,16506200
2015-03-16,61.5,61.92,61.25,61.85,55.07,15182900
2015-03-17,61.34,61.66,60.92,61.61,54.86,11628800
2015-03-18,61.39,62.05,61.09,61.75,54.98,15681300
2015-03-19,61.57,61.65,60.76,61.2,54.49,11523800
2015-03-20,61.32,62.1,61.15,61.75,54.98,18368300
2015-03-23,61.75,62.08,61.12,61.14,54.44,14714300
2015-03-24,60.97,61.24,60.45,60.46,53.84,12128700
2015-03-25,60.53,60.64,59.59,59.61,53.08,14950900
2015-03-26,59.46,59.79,58.87,59.54,53.02,14039600
2015-03-27,59.49,59.78,59.0,59.55,53.02,11750900
2015-03-30,60.88,61.46,60.61,60.96,54.28,20656500
2015-03-31,60.72,60.94,60.42,60.58,53.94,17346700
2015-04-01,60.41,60.57,59.73,59.95,53.74,18077800
2015-04-02,60.07,60.7,60.0,60.52,54.25,12697800
2015-04-06,59.92,60.75,59.65,60.47,54.2,12025200
2015-04-07,61.15,61.5,60.85,60.85,54.54,11505500
2015-04-08,61.06,61.56,60.94,61.05,54.72,11734000
2015-04-09,61.27,61.58,60.83,61.47,55.1,11728500
2015-04-10,61.35,61.78,61.2,61.7,55.3,9869700
2015-04-13,61.64,62.27,61.5,62.07,55.64,15468700
2015-04-14,62.96,63.61,62.74,63.04,56.51,33742000
2015-04-15,63.08,64.48,63.01,64.21,57.55,28732200
2015-04-16,64.08,64.27,63.66,63.81,57.2,16640500
2015-04-17,63.25,63.4,62.49,62.84,56.33,20221200
2015-04-20,63.22,63.52,63.14,63.24,56.68,12716700
2015-04-21,63.33,63.6,62.13,62.31,55.85,14985100
2015-04-22,62.65,63.15,62.03,62.94,56.42,14484700
2015-04-23,62.79,63.21,62.6,62.8,56.29,12851300
2015-04-24,62.63,62.84,62.34,62.6,56.11,9597500
2015-04-27,62.7,63.15,62.31,62.34,55.88,11146400
2015-04-28,62.49,62.78,61.77,62.76,56.25,12307800
2015-04-29,62.56,63.89,62.46,63.6,57.01,17601200
2015-04-30,63.58,63.88,62.92,63.26,56.7,16840900
2015-05-01,63.7,63.87,63.33,63.61,57.02,11640100
2015-05-04,63.68,64.87,63.64,64.72,58.01,14972500
2015-05-05,64.51,65.32,64.29,64.4,57.72,17692400
2015-05-06,64.53,65.07,63.42,63.92,57.29,18087900
2015-05-07,63.67,64.6,63.25,64.5,57.81,15039900
2015-05-08,64.97,65.65,64.6,65.49,58.7,16802600
2015-05-11,65.26,65.64,65.08,65.45,58.67,13798800
2015-05-12,65.31,65.54,64.76,65.36,58.59,12762200
2015-05-13,65.42,65.63,65.06,65.52,58.73,11874100
2015-05-14,65.83,66.18,65.71,66.05,59.2,11855500
2015-05-15,66.13,66.16,65.44,65.88,59.05,11152100
2015-05-18,65.8,66.54,65.8,66.42,59.54,10505500
2015-05-19,66.77,67.19,66.57,67.01,60.06,14282700
2015-05-20,66.95,67.03,66.4,66.48,59.59,12446000
2015-05-21,66.14,66.68,66.01,66.65,59.74,12934500
2015-05-22,66.63,66.83,66.32,66.47,59.58,9296900
2015-05-26,66.2,66.29,65.31,65.73,58.92,15571300
2015-05-27,65.95,66.65,65.82,66.47,59.58,10963700
2015-05-28,66.36,66.4,65.74,66.2,59.34,11797400
2015-05-29,66.18,66.22,65.36,65.78,58.96,14240700
2015-06-01,65.99,66.66,65.97,66.08,59.23,11899300
2015-06-02,65.83,66.39,65.58,66.02,59.18,12721500
2015-06-03,66.43,67.13,66.27,66.7,59.79,12927300
2015-06-04,66.31,67.05,66.01,66.33,59.45,13863300
2015-06-05,67.37,67.84,67.01,67.42,60.43,20801100
2015-06-08,67.46,67.55,66.81,66.89,59.96,14486200
2015-06-09,66.95,67.27,66.47,67.18,60.22,13263500
2015-06-10,67.59,68.5,67.47,68.26,61.18,17478900
2015-06-11,68.36,68.68,68.15,68.52,61.42,13739900
2015-06-12,68.31,68.54,67.87,68.25,61.18,11804700
2015-06-15,67.58,68.21,67.3,67.99,60.94,14082300
2015-06-16,67.77,68.52,67.62,68.37,61.28,11692800
2015-06-17,68.41,68.68,68.04,68.14,61.08,14521900
2015-06-18,68.35,68.82,67.9,68.78,61.65,16759600
2015-06-19,68.46,68.67,67.92,68.08,61.02,21606400
2015-06-22,68.87,69.29,68.75,68.96,61.81,14306700
2015-06-23,69.35,69.82,69.19,69.75,62.52,15736900
2015-06-24,69.51,69.77,68.91,69.02,61.87,16995000
2015-06-25,69.32,69.47,68.64,68.65,61.53,13314300
2015-06-26,68.94,69.29,68.77,68.95,61.8,14489200
2015-06-29,67.68,68.26,67.16,67.2,60.23,19934400
2015-06-30,67.89,68.11,67.16,67.76,60.74,20677400
2015-07-01,68.12,68.39,67.78,68.07,61.41,13964400
2015-07-02,67.95,68.13,67.19,67.52,60.92,12822900
2015-07-06,66.88,67.46,66.54,67.33,60.75,13527100
2015-07-07,67.09,67.22,65.3,66.8,60.27,22421500
2015-07-08,66.0,66.16,65.21,65.43,59.03,17707200
2015-07-09,66.49,66.7,65.99,66.11,59.64,14984700
2015-07-10,67.22,67.4,66.83,67.05,60.49,12356100
2015-07-13,67.89,68.14,67.68,68.09,61.43,16175600
2015-07-14,67.98,69.1,67.76,69.04,62.29,20185100
2015-07-15,69.23,69.43,68.85,69.19,62.42,16891600
2015-07-16,69.63,69.95,69.41,69.56,62.76,18035700
2015-07-17,69.35,69.49,68.92,69.21,62.44,14040700
2015-07-20,69.5,69.77,69.18,69.26,62.49,11512900
2015-07-21,69.16,69.54,68.87,69.1,62.34,11659900
2015-07-22,69.28,70.29,69.2,70.08,63.23,15493000
2015-07-23,70.19,70.61,69.46,69.64,62.83,14331800
2015-07-24,69.44,69.56,68.68,68.91,62.17,12413900
2015-07-27,68.15,68.22,67.57,68.01,61.36,16801600
2015-07-28,68.55,68.6,67.77,68.05,61.39,14932400
2015-07-29,68.32,69.1,68.16,68.94,62.2,13059200
2015-07-30,68.93,69.45,68.54,69.04,62.29,10197200
2015-07-31,69.01,69.04,68.4,68.53,61.83,11911800
2015-08-03,68.59,68.84,68.0,68.53,61.83,9980600
2015-08-04,68.47,68.95,68.31,68.46,61.76,10964000
2015-08-05,69.05,69.42,68.56,68.73,62.01,11302900
2015-08-06,68.75,68.94,68.0,68.25,61.58,10803400
2015-08-07,68.33,68.74,67.55,68.05,61.39,11453300
2015-08-10,68.22,69.01,68.22,68.89,62.15,12661400
2015-08-11,68.23,68.4,67.85,68.23,61.56,14722400
2015-08-12,67.41,67.55,66.07,67.24,60.66,21069000
2015-08-13,67.25,67.8,66.97,67.55,60.94,11930600
2015-08-14,67.42,67.91,67.4,67.89,61.25,11216900
2015-08-17,67.62,68.24,67.4,68.07,61.41,10326500
2015-08-18,67.98,68.36,67.84,68.21,61.54,10617500
2015-08-19,67.93,68.31,67.36,67.6,60.99,15198200
2015-08-20,66.81,67.04,65.94,65.94,59.49,20972300
2015-08-21,65.09,65.44,63.57,63.6,57.38,28235500
2015-08-24,59.29,62.92,50.07,60.25,54.36,36339100
2015-08-25,63.1,63.32,59.73,59.91,54.05,31772500
2015-08-26,61.8,62.98,60.55,62.91,56.76,33576800
2015-08-27,63.98,64.73,63.14,64.48,58.17,29045700
2015-08-28,64.29,64.46,63.6,64.13,57.86,16687300
2015-08-31,63.61,64.35,63.47,64.1,57.83,14087200
2015-09-01,62.85,62.85,60.99,61.45,55.44,23637300
2015-09-02,62.62,62.91,61.54,62.57,56.45,17757900
2015-09-03,62.88,63.66,62.45,62.68,56.55,17065400
2015-09-04,61.8,61.92,60.75,61.5,55.49,20189000
2015-09-08,62.77,63.2,62.33,63.16,56.98,13385100
2015-09-09,63.94,64.34,62.0,62.18,56.1,13718600
2015-09-10,61.86,63.0,61.45,62.66,56.53,15751100
2015-09-11,62.38,62.66,61.99,62.56,56.44,12766700
2015-09-14,62.64,62.69,62.12,62.38,56.28,10202800
2015-09-15,62.76,63.89,62.51,63.58,57.36,13897100
2015-09-16,63.89,64.29,63.21,64.14,57.87,12235900
2015-09-17,64.14,64.64,62.39,62.65,56.52,21249200
2015-09-18,61.83,61.83,60.78,60.94,54.98,30758800
2015-09-21,61.52,61.91,61.08,61.45,55.44,13136400
2015-09-22,60.6,61.09,60.42,60.91,54.95,14811900
2015-09-23,60.8,61.15,60.32,60.64,54.71,11712200
2015-09-24,60.01,60.38,59.46,60.22,54.33,17293400
2015-09-25,61.27,61.86,60.87,61.47,55.46,18384300
2015-09-28,60.92,61.01,59.69,59.98,54.11,17452200
2015-09-29,59.98,60.13,58.73,59.84,53.99,19334900
2015-09-30,60.7,61.0,60.11,60.97,55.01,18639000
2015-10-01,61.12,61.87,60.54,61.42,55.41,16863200
2015-10-02,59.59,60.86,58.53,60.81,55.26,20435100
2015-10-05,61.24,62.24,61.22,62.02,56.36,13471100
2015-10-06,62.11,62.36,61.62,62.05,56.39,12134800
2015-10-07,62.55,63.03,61.76,62.13,56.46,12773100
2015-10-08,61.85,62.25,61.43,62.13,56.46,13964600
2015-10-09,62.39,62.55,61.58,61.93,56.28,12112000
2015-10-12,61.84,62.01,61.4,61.72,56.09,10857400
2015-10-13,61.39,62.16,61.31,61.55,55.93,15621900
2015-10-14,60.76,60.97,59.54,59.99,54.51,28989400
2015-10-15,60.47,61.96,60.1,61.89,56.24,18147900
2015-10-16,62.43,62.65,62.09,62.43,56.73,17456600
2015-10-19,62.0,62.77,61.91,62.22,56.54,14510400
2015-10-20,62.36,62.82,62.08,62.52,56.81,11487700
2015-10-21,62.88,62.96,62.05,62.06,56.39,12113400
2015-10-22,62.42,63.58,62.42,63.19,57.42,15295700
2015-10-23,63.63,64.19,63.5,63.87,58.04,16985200
2015-10-26,63.84,63.99,63.41,63.9,58.07,13880200
2015-10-27,63.53,63.86,63.31,63.64,57.83,8831900
2015-10-28,63.7,65.74,63.69,65.5,59.52,17962000
2015-10-29,65.26,65.83,64.88,65.21,59.26,12686400
2015-10-30,65.3,65.34,64.13,64.25,58.38,15731400
2015-11-02,64.45,65.75,64.39,65.54,59.56,15253300
2015-11-03,65.29,66.1,65.17,65.78,59.78,11519500
